index,name,type,input_shape,output_shape,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,in_features,out_features,num_features,weight_shape,bias_shape,prelu_weight_shape,running_mean_shape,running_var_shape,param_numel,buffer_numel,macs,output_elements,weight_bit,activation_bit,x_min,x_max,full_precision,running_stat,note
0,conv1.conv,Quant_Conv2d,"[1, 3, 112, 112]","[1, 64, 56, 56]",3,64,"[3, 3]","[2, 2]","[1, 1]","[1, 1]",1,,,,"[64, 3, 3, 3]",,,,,1728,0,5419008,200704,8,,,,False,,
1,conv1.bn,BatchNorm2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",,,,,,,,,,64,[64],[64],,[64],[64],128,129,,200704,,,,,,,
2,conv1.prelu,QuantActPreLu,"[1, 64, 56, 56]","[1, 64, 56, 56]",,,,,,,,,,,,,[64],,,64,0,,200704,,8,-1.4475910663604736,2.3678195476531982,False,True,prelu_then_activation_quant
3,conv2_dw.conv,Quant_Conv2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",64,64,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",64,,,,"[64, 1, 3, 3]",,,,,576,0,1806336,200704,8,,,,False,,
4,conv2_dw.bn,BatchNorm2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",,,,,,,,,,64,[64],[64],,[64],[64],128,129,,200704,,,,,,,
5,conv2_dw.prelu,QuantActPreLu,"[1, 64, 56, 56]","[1, 64, 56, 56]",,,,,,,,,,,,,[64],,,64,0,,200704,,8,-2.4408092498779297,6.2871270179748535,False,True,prelu_then_activation_quant
6,conv_23.conv.conv,Quant_Conv2d,"[1, 64, 56, 56]","[1, 128, 56, 56]",64,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 64, 1, 1]",,,,,8192,0,25690112,401408,8,,,,False,,
7,conv_23.conv.bn,BatchNorm2d,"[1, 128, 56, 56]","[1, 128, 56, 56]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,401408,,,,,,,
8,conv_23.conv.prelu,QuantActPreLu,"[1, 128, 56, 56]","[1, 128, 56, 56]",,,,,,,,,,,,,[128],,,128,0,,401408,,8,-0.9595906734466553,5.07781982421875,False,True,prelu_then_activation_quant
9,conv_23.conv_dw.conv,Quant_Conv2d,"[1, 128, 56, 56]","[1, 128, 28, 28]",128,128,"[3, 3]","[2, 2]","[1, 1]","[1, 1]",128,,,,"[128, 1, 3, 3]",,,,,1152,0,903168,100352,8,,,,False,,
10,conv_23.conv_dw.bn,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,100352,,,,,,,
11,conv_23.conv_dw.prelu,QuantActPreLu,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,,,,[128],,,128,0,,100352,,8,-2.122344732284546,4.42881965637207,False,True,prelu_then_activation_quant
12,conv_23.project.conv,Quant_Conv2d,"[1, 128, 28, 28]","[1, 64, 28, 28]",128,64,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[64, 128, 1, 1]",,,,,8192,0,6422528,50176,8,,,,False,,
13,conv_23.project.bn,BatchNorm2d,"[1, 64, 28, 28]","[1, 64, 28, 28]",,,,,,,,,,64,[64],[64],,[64],[64],128,129,,50176,,,,,,,
14,conv_3.model.0.0.conv.conv,Quant_Conv2d,"[1, 64, 28, 28]","[1, 128, 28, 28]",64,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 64, 1, 1]",,,,,8192,0,6422528,100352,8,,,,False,,
15,conv_3.model.0.0.conv.bn,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,100352,,,,,,,
16,conv_3.model.0.0.conv.prelu,QuantActPreLu,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,,,,[128],,,128,0,,100352,,8,-0.3975980281829834,1.1086786985397339,False,True,prelu_then_activation_quant
17,conv_3.model.0.0.conv_dw.conv,Quant_Conv2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",128,128,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",128,,,,"[128, 1, 3, 3]",,,,,1152,0,903168,100352,8,,,,False,,
18,conv_3.model.0.0.conv_dw.bn,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,100352,,,,,,,
19,conv_3.model.0.0.conv_dw.prelu,QuantActPreLu,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,,,,[128],,,128,0,,100352,,8,-0.5474601984024048,2.7144813537597656,False,True,prelu_then_activation_quant
20,conv_3.model.0.0.project.conv,Quant_Conv2d,"[1, 128, 28, 28]","[1, 64, 28, 28]",128,64,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[64, 128, 1, 1]",,,,,8192,0,6422528,50176,8,,,,False,,
