orig_index,name,type,hw_op,in_h,in_w,in_c_or_features,out_h,out_w,out_c_or_features,kernel_h,kernel_w,stride_h,stride_w,pad_h,pad_w,groups,weight_shape,params,macs,output_elements,weight_bit,activation_bit,x_min,x_max,int_accumulator,note
0,conv1.conv,Quant_Conv2d,conv3x3,112,112,3,56,56,64,3,3,2,2,1,1,1,"[64, 3, 3, 3]",1728,5419008,200704,8,,,,INT32,
2,conv1.prelu,QuantActPreLu,prelu_plus_activation_quant,56,56,64,56,56,64,,,,,,,,,64,,200704,,8,-1.4475910663604736,2.3678195476531982,,prelu_then_activation_quant
3,conv2_dw.conv,Quant_Conv2d,dwconv3x3,56,56,64,56,56,64,3,3,1,1,1,1,64,"[64, 1, 3, 3]",576,1806336,200704,8,,,,INT32,
5,conv2_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,56,56,64,56,56,64,,,,,,,,,64,,200704,,8,-2.4408092498779297,6.2871270179748535,,prelu_then_activation_quant
6,conv_23.conv.conv,Quant_Conv2d,conv1x1,56,56,64,56,56,128,1,1,1,1,0,0,1,"[128, 64, 1, 1]",8192,25690112,401408,8,,,,INT32,
8,conv_23.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,56,56,128,56,56,128,,,,,,,,,128,,401408,,8,-0.9595906734466553,5.07781982421875,,prelu_then_activation_quant
9,conv_23.conv_dw.conv,Quant_Conv2d,dwconv3x3,56,56,128,28,28,128,3,3,2,2,1,1,128,"[128, 1, 3, 3]",1152,903168,100352,8,,,,INT32,
11,conv_23.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,128,28,28,128,,,,,,,,,128,,100352,,8,-2.122344732284546,4.42881965637207,,prelu_then_activation_quant
12,conv_23.project.conv,Quant_Conv2d,conv1x1,28,28,128,28,28,64,1,1,1,1,0,0,1,"[64, 128, 1, 1]",8192,6422528,50176,8,,,,INT32,
14,conv_3.model.0.0.conv.conv,Quant_Conv2d,conv1x1,28,28,64,28,28,128,1,1,1,1,0,0,1,"[128, 64, 1, 1]",8192,6422528,100352,8,,,,INT32,
16,conv_3.model.0.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,128,28,28,128,,,,,,,,,128,,100352,,8,-0.3975980281829834,1.1086786985397339,,prelu_then_activation_quant
17,conv_3.model.0.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,28,28,128,28,28,128,3,3,1,1,1,1,128,"[128, 1, 3, 3]",1152,903168,100352,8,,,,INT32,
19,conv_3.model.0.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,128,28,28,128,,,,,,,,,128,,100352,,8,-0.5474601984024048,2.7144813537597656,,prelu_then_activation_quant
20,conv_3.model.0.0.project.conv,Quant_Conv2d,conv1x1,28,28,128,28,28,64,1,1,1,1,0,0,1,"[64, 128, 1, 1]",8192,6422528,50176,8,,,,INT32,
22,conv_3.model.0.1,QuantAct,activation_quant_or_residual_add_quant,28,28,64,28,28,64,,,,,,,,,0,,50176,,8,-3.117239475250244,4.086012840270996,,residual_add_output_quant
23,conv_3.model.1.0.conv.conv,Quant_Conv2d,conv1x1,28,28,64,28,28,128,1,1,1,1,0,0,1,"[128, 64, 1, 1]",8192,6422528,100352,8,,,,INT32,
25,conv_3.model.1.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,128,28,28,128,,,,,,,,,128,,100352,,8,-0.32354769110679626,1.2947860956192017,,prelu_then_activation_quant
26,conv_3.model.1.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,28,28,128,28,28,128,3,3,1,1,1,1,128,"[128, 1, 3, 3]",1152,903168,100352,8,,,,INT32,
28,conv_3.model.1.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,128,28,28,128,,,,,,,,,128,,100352,,8,-0.9270885586738586,3.636932849884033,,prelu_then_activation_quant
29,conv_3.model.1.0.project.conv,Quant_Conv2d,conv1x1,28,28,128,28,28,64,1,1,1,1,0,0,1,"[64, 128, 1, 1]",8192,6422528,50176,8,,,,INT32,
31,conv_3.model.1.1,QuantAct,activation_quant_or_residual_add_quant,28,28,64,28,28,64,,,,,,,,,0,,50176,,8,-3.387274742126465,3.622286796569824,,residual_add_output_quant
32,conv_3.model.2.0.conv.conv,Quant_Conv2d,conv1x1,28,28,64,28,28,128,1,1,1,1,0,0,1,"[128, 64, 1, 1]",8192,6422528,100352,8,,,,INT32,
34,conv_3.model.2.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,128,28,28,128,,,,,,,,,128,,100352,,8,-0.29019972681999207,1.4713294506072998,,prelu_then_activation_quant
35,conv_3.model.2.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,28,28,128,28,28,128,3,3,1,1,1,1,128,"[128, 1, 3, 3]",1152,903168,100352,8,,,,INT32,
37,conv_3.model.2.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,128,28,28,128,,,,,,,,,128,,100352,,8,-0.3107304573059082,3.5743298530578613,,prelu_then_activation_quant
38,conv_3.model.2.0.project.conv,Quant_Conv2d,conv1x1,28,28,128,28,28,64,1,1,1,1,0,0,1,"[64, 128, 1, 1]",8192,6422528,50176,8,,,,INT32,
40,conv_3.model.2.1,QuantAct,activation_quant_or_residual_add_quant,28,28,64,28,28,64,,,,,,,,,0,,50176,,8,-5.423863887786865,6.589082717895508,,residual_add_output_quant
41,conv_3.model.3.0.conv.conv,Quant_Conv2d,conv1x1,28,28,64,28,28,128,1,1,1,1,0,0,1,"[128, 64, 1, 1]",8192,6422528,100352,8,,,,INT32,
43,conv_3.model.3.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,128,28,28,128,,,,,,,,,128,,100352,,8,-0.3645729720592499,1.991772174835205,,prelu_then_activation_quant
44,conv_3.model.3.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,28,28,128,28,28,128,3,3,1,1,1,1,128,"[128, 1, 3, 3]",1152,903168,100352,8,,,,INT32,
46,conv_3.model.3.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,128,28,28,128,,,,,,,,,128,,100352,,8,-0.6354346871376038,3.720135450363159,,prelu_then_activation_quant
47,conv_3.model.3.0.project.conv,Quant_Conv2d,conv1x1,28,28,128,28,28,64,1,1,1,1,0,0,1,"[64, 128, 1, 1]",8192,6422528,50176,8,,,,INT32,
49,conv_3.model.3.1,QuantAct,activation_quant_or_residual_add_quant,28,28,64,28,28,64,,,,,,,,,0,,50176,,8,-8.75257682800293,7.589846611022949,,residual_add_output_quant
50,conv_34.conv.conv,Quant_Conv2d,conv1x1,28,28,64,28,28,256,1,1,1,1,0,0,1,"[256, 64, 1, 1]",16384,12845056,200704,8,,,,INT32,
52,conv_34.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,256,28,28,256,,,,,,,,,256,,200704,,8,-0.28298792243003845,1.499998688697815,,prelu_then_activation_quant
53,conv_34.conv_dw.conv,Quant_Conv2d,dwconv3x3,28,28,256,14,14,256,3,3,2,2,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
55,conv_34.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-1.6584945917129517,2.974113941192627,,prelu_then_activation_quant
56,conv_34.project.conv,Quant_Conv2d,conv1x1,14,14,256,14,14,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,6422528,25088,8,,,,INT32,
58,conv_4.model.0.0.conv.conv,Quant_Conv2d,conv1x1,14,14,128,14,14,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,6422528,50176,8,,,,INT32,
60,conv_4.model.0.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.20248548686504364,1.3485243320465088,,prelu_then_activation_quant
61,conv_4.model.0.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,14,14,256,14,14,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
63,conv_4.model.0.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.3201037347316742,2.105782985687256,,prelu_then_activation_quant
64,conv_4.model.0.0.project.conv,Quant_Conv2d,conv1x1,14,14,256,14,14,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,6422528,25088,8,,,,INT32,
66,conv_4.model.0.1,QuantAct,activation_quant_or_residual_add_quant,14,14,128,14,14,128,,,,,,,,,0,,25088,,8,-2.30216121673584,3.2521519660949707,,residual_add_output_quant
67,conv_4.model.1.0.conv.conv,Quant_Conv2d,conv1x1,14,14,128,14,14,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,6422528,50176,8,,,,INT32,
69,conv_4.model.1.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.1649332493543625,0.8791435360908508,,prelu_then_activation_quant
70,conv_4.model.1.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,14,14,256,14,14,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
